car_title,year_model,price,less_or_more,odometer,colour,safety_certificate,reg_expiry,transmission,body,link
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$10,990",More,"59,100",Reflex Silver,No,Expired,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2012/OAG-AD-16122199/?Cr=0
2012 Volkswagen Golf 77TSI VI Auto MY13,2012,"$10,990",More,"96,634",SILVER,No,Nov-18,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2012/OAG-AD-16523946/?Cr=1
2012 Volkswagen Golf 77TSI VI Auto MY13,2012,"$11,000",More,"73,000",United Grey,Yes,4 Months - March 2019,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5587750/?Cr=2
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$11,000",More,"73,213",Deep Black,No,Oct-18,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/dealer/details/Volkswagen-Golf-2012/OAG-AD-16506706/?Cr=3
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$11,500",More,"180,000",White,Yes,Jul-18,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5325007/?Cr=4
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$11,000",More,"76,133",White,Yes,Expired,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5760946/?Cr=5
2012 Volkswagen Golf 77TSI VI Auto MY13,2012,"$9,900",Less,"94,000",Deep Black,Yes,10 Months - September 2019,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5754533/?Cr=6
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$10,995",More,"65,000",Deep Black,No,8 Months - July 2019,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5730087/?Cr=7
2012 Volkswagen Golf 77TSI VI Auto MY12.5,2012,"$10,250",Less,"121,000",White,No,1 Month - December 2018,7 speed Sports Automatic Dual Clutch,5 doors 5 seat Hatch,https://www.carsales.com.au/private/details/Volkswagen-Golf-2012/SSE-AD-5686064/?Cr=8
,,"$10,847",,93120,,,,,,
,,,,,,,,,,
Odometer difference,13120,,,,,,,,,
Value of odometer difference,1968,,,,,,,,,
Avg price + diff,"$12,815",,,,,,,,,
Minus cost of repairs,"$9,815",,,,,,,,,
Plus reg,"$10,315",,,,,,,,,
